"Date","Price","Open","High","Low","Change %"
"07/01/2012","3.330","3.330","3.450","3.219","-1.19%"
"06/01/2012","3.370","3.380","3.500","3.290","-3.71%"
"05/01/2012","3.500","3.540","3.600","3.300","-1.41%"
"04/01/2012","3.550","3.560","3.600","3.500","0.00%"
"03/01/2012","3.550","3.530","3.603","3.400","0.00%"
"02/01/2012","3.550","3.410","3.700","3.380","4.41%"
"01/01/2012","3.400","3.420","3.550","3.375","-4.23%"
"12/01/2011","3.550","3.550","3.760","3.410","-1.93%"
"11/01/2011","3.620","3.760","3.870","3.550","-4.99%"
"10/01/2011","3.810","3.860","4.150","3.710","-1.55%"
"09/01/2011","3.870","4.100","4.200","3.860","-3.25%"
"08/01/2011","4.000","4.070","4.200","3.870","-2.91%"
"07/01/2011","4.120","3.900","4.200","3.764","6.19%"
"06/01/2011","3.880","3.880","4.114","3.800","1.04%"
"05/01/2011","3.840","3.910","4.044","3.810","-1.03%"
"04/01/2011","3.880","3.950","4.068","3.770","-1.77%"
"03/01/2011","3.950","4.050","4.100","3.770","-2.47%"
"02/01/2011","4.050","4.030","4.200","3.850","4.11%"
"01/01/2011","3.890","3.850","4.100","3.769","-0.26%"
"12/01/2010","3.900","3.970","4.100","3.765","0.00%"
"11/01/2010","3.900","3.700","4.100","3.380","6.27%"
"10/01/2010","3.670","3.340","3.730","3.220","12.82%"
"09/01/2010","3.253","3.230","3.400","3.170","0.99%"
"08/01/2010","3.221","3.300","3.400","3.180","-2.69%"
"07/01/2010","3.310","3.300","3.440","3.150","-0.60%"
"06/01/2010","3.330","3.230","3.510","3.180","0.60%"
"05/01/2010","3.310","3.340","3.525","3.140","-0.90%"
"04/01/2010","3.340","3.388","3.650","3.300","-6.70%"
"03/01/2010","3.580","3.500","3.650","3.300","0.85%"
"02/01/2010","3.550","3.600","3.720","3.400","-1.39%"
"01/01/2010","3.600","3.640","3.770","3.510","0.00%"
"12/01/2009","3.600","3.580","3.750","3.510","1.12%"
"11/01/2009","3.560","3.750","3.820","3.540","-3.78%"
"10/01/2009","3.700","3.530","3.800","3.430","4.52%"
"09/01/2009","3.540","3.480","3.640","3.380","-0.28%"
"08/01/2009","3.550","3.475","3.640","2.940","0.00%"
"07/01/2009","3.550","3.170","3.650","3.000","8.23%"
"06/01/2009","3.280","3.060","3.350","3.000","7.19%"
"05/01/2009","3.060","3.120","3.780","3.000","-3.77%"
"04/01/2009","3.180","3.180","3.351","3.070","0.63%"
"03/01/2009","3.160","3.301","3.451","3.015","1.94%"
"02/01/2009","3.100","3.120","3.500","2.996","0.03%"
"01/01/2009","3.099","2.760","3.300","2.635","12.73%"
"12/01/2008","2.749","3.100","3.100","2.660","-5.98%"
"11/01/2008","2.924","3.070","3.400","2.750","-1.71%"
"10/01/2008","2.975","3.703","3.979","2.950","-19.68%"
"09/01/2008","3.704","4.180","4.595","3.679","-13.26%"
"08/01/2008","4.270","4.600","4.894","4.180","-6.91%"
"07/01/2008","4.587","4.520","4.938","4.191","3.06%"
"06/01/2008","4.451","4.076","4.750","4.076","6.59%"
"05/01/2008","4.176","4.100","4.280","4.050","2.35%"
"04/01/2008","4.080","4.100","4.315","3.867","-1.69%"
"03/01/2008","4.150","4.300","4.319","3.980","0.48%"
"02/01/2008","4.130","4.250","4.450","4.071","-3.95%"
"01/01/2008","4.300","4.521","4.600","4.200","-5.49%"
"12/01/2007","4.550","4.580","4.700","4.382","-1.37%"
"11/01/2007","4.613","4.522","4.700","4.439","2.03%"
"10/01/2007","4.521","4.418","4.655","4.196","1.39%"
"09/01/2007","4.459","4.260","4.799","4.189","1.36%"
"08/01/2007","4.399","4.336","4.701","4.099","0.87%"
"07/01/2007","4.361","4.361","4.361","4.361","1.77%"
"06/01/2007","4.285","4.285","4.285","4.285","-0.33%"
"05/01/2007","4.299","4.299","4.299","4.299","18.07%"
"04/01/2007","3.641","3.641","3.641","3.641","7.15%"
"03/01/2007","3.398","3.398","3.398","3.398","8.49%"
"02/01/2007","3.132","3.132","3.132","3.132","1.69%"
"01/01/2007","3.080","3.080","3.080","3.080","-0.06%"
"12/01/2006","3.082","3.082","3.082","3.082","2.09%"
"11/01/2006","3.019","3.019","3.019","3.019","1.79%"
"10/01/2006","2.966","2.966","2.966","2.966","-10.18%"
"09/01/2006","3.302","3.302","3.302","3.302","-0.63%"
"08/01/2006","3.323","3.323","3.323","3.323","-1.98%"
"07/01/2006","3.390","3.390","3.390","3.390","8.24%"
"06/01/2006","3.132","3.132","3.132","3.132","2.79%"
"05/01/2006","3.047","3.047","3.047","3.047","0.00%"
"04/01/2006","3.047","3.047","3.047","3.047","3.36%"
"03/01/2006","2.948","2.948","2.948","2.948","-0.74%"
"02/01/2006","2.970","2.970","2.970","2.970","-5.23%"
"01/01/2006","3.134","3.134","3.134","3.134","-5.06%"
"12/01/2005","3.301","3.301","3.301","3.301","0.24%"
"11/01/2005","3.293","3.293","3.293","3.293","3.75%"
"10/01/2005","3.174","3.174","3.174","3.174","-4.54%"
"09/01/2005","3.325","3.325","3.325","3.325","-5.49%"
"08/01/2005","3.518","3.518","3.518","3.518","-0.85%"
"07/01/2005","3.548","3.548","3.548","3.548","-8.42%"
"06/01/2005","3.874","3.874","3.874","3.874","-6.27%"
"05/01/2005","4.133","4.133","4.133","4.133","-5.14%"
"04/01/2005","4.357","4.357","4.357","4.357","-1.22%"
"03/01/2005","4.411","4.411","4.411","4.411","-5.59%"
"02/01/2005","4.672","4.672","4.672","4.672","0.54%"
"01/01/2005","4.647","4.647","4.647","4.647","2.51%"
"12/01/2004","4.533","4.533","4.533","4.533","-4.63%"
"11/01/2004","4.753","4.753","4.753","4.753","-0.79%"
"10/01/2004","4.791","4.791","4.791","4.791","0.02%"
"09/01/2004","4.790","4.790","4.790","4.790","-3.25%"
"08/01/2004","4.951","4.951","4.951","4.951","6.61%"
"07/01/2004","4.644","4.644","4.644","4.644","2.11%"
"06/01/2004","4.548","4.548","4.548","4.548","10.52%"
"05/01/2004","4.115","4.115","4.115","4.115","0.56%"
"04/01/2004","4.092","4.092","4.092","4.092","2.81%"
"03/01/2004","3.980","3.980","3.980","3.980","0.81%"
"02/01/2004","3.948","3.948","3.948","3.948","5.00%"
"01/01/2004","3.760","3.760","3.760","3.760","0.13%"
"12/01/2003","3.755","3.755","3.755","3.755","-0.77%"
"11/01/2003","3.784","3.784","3.784","3.784","4.33%"
"10/01/2003","3.627","3.627","3.627","3.627","6.36%"
"09/01/2003","3.410","3.410","3.410","3.410","15.99%"
"08/01/2003","2.940","2.940","2.940","2.940","1.31%"
"07/01/2003","2.902","2.902","2.902","2.902","-2.75%"
"06/01/2003","2.984","2.984","2.984","2.984","3.00%"
"05/01/2003","2.897","2.897","2.897","2.897","-7.18%"
"04/01/2003","3.121","3.121","3.121","3.121","5.33%"
"03/01/2003","2.963","2.963","2.963","2.963","-1.53%"
"02/01/2003","3.009","3.009","3.009","3.009","-1.57%"
"01/01/2003","3.057","3.057","3.057","3.057","-1.36%"
"12/01/2002","3.099","3.099","3.099","3.099","-6.71%"
"11/01/2002","3.322","3.322","3.322","3.322","8.28%"
"10/01/2002","3.068","3.068","3.068","3.068","-0.42%"
"09/01/2002","3.081","3.081","3.081","3.081","8.22%"
"08/01/2002","2.847","2.847","2.847","2.847","-0.80%"
"07/01/2002","2.870","2.870","2.870","2.870","13.44%"
