"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2010","1,981.59","1,911.10","2,002.58","1,893.19","","3.81%"
"09/01/2010","1,908.94","1,754.86","1,935.22","1,754.86","","8.93%"
"08/01/2010","1,752.47","1,837.69","1,882.44","1,735.57","","-4.52%"
"07/01/2010","1,835.40","1,715.23","1,867.28","1,682.21","","7.01%"
"06/01/2010","1,715.23","1,810.01","1,881.42","1,711.18","","-5.23%"
"05/01/2010","1,809.98","1,967.51","1,997.66","1,727.90","","-7.99%"
"04/01/2010","1,967.05","1,938.08","2,021.41","1,938.08","","1.58%"
"03/01/2010","1,936.48","1,826.27","1,954.53","1,826.27","","6.03%"
"02/01/2010","1,826.27","1,771.43","1,838.41","1,723.46","","3.10%"
"01/01/2010","1,771.40","1,839.21","1,896.98","1,767.25","","-3.60%"
"12/01/2009","1,837.49","1,803.10","1,862.19","182.01","","1.93%"
"11/01/2009","1,802.68","1,700.72","1,830.14","1,689.49","","6.00%"
"10/01/2009","1,700.67","1,732.68","1,807.08","1,672.05","","-1.85%"
"09/01/2009","1,732.69","1,670.59","1,770.02","1,624.21","","3.72%"
"08/01/2009","1,670.52","1,612.32","1,701.34","1,600.12","","3.61%"
"07/01/2009","1,612.31","1,499.11","1,627.33","1,418.50","","7.56%"
"06/01/2009","1,498.94","1,495.97","1,557.85","1,448.77","","0.20%"
"05/01/2009","1,495.97","1,416.75","1,510.80","1,405.77","","5.59%"
"04/01/2009","1,416.73","1,293.23","1,442.29","1,270.18","","9.57%"
"03/01/2009","1,292.98","1,133.43","1,349.37","1,095.04","","8.76%"
"02/01/2009","1,188.84","1,329.81","1,403.19","1,188.84","","-10.65%"
"01/01/2009","1,330.51","1,499.17","1,503.87","1,296.63","","-8.43%"
"12/01/2008","1,452.98","1,309.39","1,466.87","1,309.39","","1.06%"
"11/01/2008","1,437.68","1,544.91","1,608.00","1,206.04","","-7.18%"
"10/01/2008","1,548.81","1,853.26","1,853.26","1,356.78","","-16.80%"
"09/01/2008","1,861.44","2,035.24","2,035.24","1,765.72","","-8.91%"
"08/01/2008","2,043.53","2,003.16","2,076.59","1,985.23","","1.45%"
"07/01/2008","2,014.39","2,039.66","2,040.81","1,929.85","","-0.84%"
"06/01/2008","2,031.47","2,195.27","2,225.74","2,028.89","","-8.43%"
"05/01/2008","2,218.50","2,228.09","2,258.74","2,179.05","","1.30%"
"04/01/2008","2,190.13","2,163.38","2,209.25","2,098.92","","4.87%"
"03/01/2008","2,088.42","2,098.64","2,135.54","2,008.71","","-0.43%"
"02/01/2008","2,097.48","2,194.43","2,194.43","2,087.05","","-3.25%"
"01/01/2008","2,167.90","2,273.41","2,273.41","2,060.15","","-6.00%"
"12/01/2007","2,306.23","2,308.74","2,378.60","2,269.24","","-0.69%"
"11/01/2007","2,322.34","2,360.21","2,379.05","2,205.49","","-4.18%"
"10/01/2007","2,423.67","2,417.44","2,447.03","2,346.78","","1.59%"
"09/01/2007","2,385.72","2,323.82","2,392.92","2,266.51","","3.74%"
"08/01/2007","2,299.71","2,282.30","2,333.24","2,193.40","","1.50%"
"07/01/2007","2,265.75","2,363.28","2,417.50","2,265.75","","-3.10%"
"06/01/2007","2,338.25","2,386.63","2,391.13","2,316.63","","-1.66%"
"05/01/2007","2,377.75","2,303.68","2,377.75","2,303.68","","3.49%"
"04/01/2007","2,297.57","2,205.85","2,317.50","2,205.85","","4.43%"
"03/01/2007","2,200.12","2,170.17","2,225.26","2,125.34","","1.12%"
"02/01/2007","2,175.78","2,231.61","2,255.48","2,163.11","","-1.96%"
"01/01/2007","2,219.19","2,183.92","2,221.56","2,173.29","","1.51%"
"12/01/2006","2,186.13","2,149.85","2,199.15","2,149.85","","1.40%"
"11/01/2006","2,155.89","2,100.36","2,162.65","2,095.68","","1.90%"
"10/01/2006","2,115.65","2,041.99","2,132.39","2,041.99","","3.26%"
"09/01/2006","2,048.89","2,008.47","2,053.93","1,982.93","","2.58%"
"08/01/2006","1,997.42","1,942.22","1,998.08","1,936.30","","2.38%"
"07/01/2006","1,951.00","1,954.49","1,954.49","1,885.82","","0.62%"
"06/01/2006","1,939.03","1,960.28","1,964.11","1,866.92","","0.14%"
"05/01/2006","1,936.41","1,985.55","2,017.34","1,914.38","","-2.88%"
"04/01/2006","1,993.79","1,971.93","1,994.23","1,954.25","","1.34%"
"03/01/2006","1,967.38","1,959.77","1,985.69","1,931.73","","1.24%"
"02/01/2006","1,943.19","1,941.75","1,963.58","1,900.58","","0.27%"
"01/01/2006","1,937.93","1,918.96","1,958.56","1,909.35","","2.65%"
"12/01/2005","1,887.94","1,910.23","1,923.44","1,887.94","","0.03%"
"11/01/2005","1,887.28","1,812.11","1,914.41","1,812.11","","3.78%"
"10/01/2005","1,818.50","1,846.17","1,846.17","1,772.36","","-1.67%"
"09/01/2005","1,849.33","1,836.37","1,866.74","1,820.49","","0.81%"
"08/01/2005","1,834.48","1,853.13","1,868.06","1,810.52","","-0.91%"
"07/01/2005","1,851.37","1,789.85","1,865.64","1,789.85","","3.72%"
"06/01/2005","1,784.99","1,799.15","1,822.35","1,783.45","","0.14%"
"05/01/2005","1,782.46","1,735.43","1,793.34","1,725.15","","3.18%"
"04/01/2005","1,727.49","1,749.45","1,777.35","1,697.74","","-1.90%"
"03/01/2005","1,760.89","1,802.79","1,825.70","1,737.94","","-1.77%"
"02/01/2005","1,792.63","1,767.79","1,804.17","1,762.76","","2.10%"
"01/01/2005","1,755.68","1,784.96","1,784.96","1,729.33","","-2.44%"
"12/01/2004","1,799.55","1,766.90","1,801.98","1,745.84","","3.40%"
"11/01/2004","1,740.33","1,673.11","1,754.33","1,673.11","","4.05%"
"10/01/2004","1,672.65","1,672.49","1,688.83","1,619.48","","1.53%"
"09/01/2004","1,647.48","1,632.82","1,668.39","1,630.67","","1.08%"
"08/01/2004","1,629.83","1,630.48","1,634.83","1,567.95","","0.40%"
"07/01/2004","1,623.26","1,661.53","1,661.53","1,596.49","","-3.31%"
"06/01/2004","1,678.83","1,647.57","1,682.75","1,641.43","","1.94%"
"05/01/2004","1,646.80","1,639.46","1,647.65","1,592.23","","1.37%"
"04/01/2004","1,624.51","1,659.17","1,686.24","1,624.51","","-1.57%"
"03/01/2004","1,650.42","1,691.90","1,693.76","1,598.85","","-1.51%"
"02/01/2004","1,675.70","1,658.79","1,693.03","1,646.29","","1.39%"
"01/01/2004","1,652.73","1,618.05","1,687.44","1,618.05","","1.84%"
"12/01/2003","1,622.94","1,559.50","1,622.94","1,544.31","","5.24%"
"11/01/2003","1,542.07","1,540.71","1,542.40","1,505.76","","0.88%"
"10/01/2003","1,528.62","1,479.23","1,528.62","1,479.23","","5.66%"
